S.No,Review,Sentiment
1,"Only Best 5G smartphone with enough budget,loved it to gift my grandmother ☺️",Positive
2,Good,Positive
3,No back case and only 10W charger is provided. In description they mentioned 18W charger in box and back case also. Good for Parents.,Positive
4,"Design is amazing 😍🤩😍.
Camera is decent🥰🥰🥰.
Picture quality is amazing 😍🤩",Positive
5,Good 😊👍,Positive
6,Budget phone of 5g ... Jio 5g working but airtel5g not working..,Neutral
7,This price range mobile worth.,Positive
8,In This price phone is also good for free fire,Positive
9,"Whether gaming or streaming, the display delivers every time. The refresh rate is smooth, and the colors pop beautifully. Its acutely great for an LCD display",Positive
10,Just osm for me,Neutral
11,"I gifted for my GF , worth for money 💰 very nice 👍",Positive
12,"I would say really this is the best phone and this..... At the price you are getting this this is totally phenomenal because the camera is average but battery is awesome and performance is also awesome.. One thing could have been better the charger is given only 10 Watts in the box.. But still can be charged by another charger.
Performance 10
Camera 8
Display 9
Battery 10",Positive
13,Good for normal user,Positive
14,It's fantastic I am very happy with this product ☺️,Positive
15,"Good In Budget, I like One Day Delivery 🚚 Good Product in Range, Support 5G only on Jio",Positive
16,"Very good
Exiclent",Positive
17,"Nice . But given 10 w charger they said they will give 18w disappointing, look is awesom",Negative
18,Everything is good but 5g only work with Jio SIM i didn't understand this logic so you have to use jio sim and no phone case with unknown whatt charger idk why btw go ahead it's good for parents.....,Positive
19,"EXCELLENT PRODUCT, SO HAPPY WITH IT, THANKS FLIPPY",Positive
20,"1. At this price point, with 120hz display and FP sensor, unbeatable smartphone.
2. Camera quality is below average basically at night time.
3. 5G works so well. Jio gives nearly 500 to 600mbps in my area.
4. HyperOS out of the box. Till now, found no software issues. Debloat all the unnecessary apps to get a clean OS.
5. A good budget phone if you are planning to gift your mom or dad for normal usage.",Positive
21,This is so good,Positive
22,Very good,Positive
23,"With its fast processor, the POCO C75 5G offers a flawless performance experience. The display is also excellent, providing bright and clear visuals for gaming or media.",Positive
24,This phone is very nice 👍👍😊😊 super shaandaar products🩷🩷🩷🩷🩷,Positive
25,Nice,Positive
26,Good,Positive
27,Very nice 👍,Positive
28,Value for money phone,Positive
29,"Good product for this price. No back case in the box, only 10w charger in the box. On time delivery by flipkart 👍🏻",Positive
30,Very nice mobile good mobile,Positive
31,Nice phone price of money 👍👍👍👍👍,Positive
32,The phone performs like a flagship device with its smooth processing speed. It handles gaming and multitasking seamlessly. The rear camera captures detailed images that complement the fast performance.,Positive
33,Good products,Positive
34,Good Phone,Positive
35,"Best product in the market at cheap price ,worth it",Positive
36,"The clarity and detail on the display are impressive. Even small text looks sharp, and the colors are stunning. Giving FHD+ when everyone is giving HD+ is good.",Positive
37,Awesome 👍👍 Flipkart best,Positive
38,"Pros:-
At this price this phone is very great.
Battery is good.
Display is good.
5g speed good.
Performance is good.
BGMI (no gyro supported)(40 fps) (lags).
Cons:
Only thing camera which is average.
Well you can't have a flagship camera in this price range. so, overall its good.
In conclusion,
If your budget is tight you can consider this phone. Its best for your daily use work but if you are a gamer don't purchase this, its not meant for gaming.",Positive
39,"Camera not ok
Battery excellent
Speed also normal
Some hanging experience faced while opening and closing the apps frequently

Overall experience was ok for parents and normal usage",Negative
40,"With its excellent battery backup, I can game, stream, and work without interruptions. This phone is a beast in terms of battery.",Positive
41,"I love the storage options available with the POCO C75 5G. It comes with plenty of space for apps, media, and more, and the expandable storage is a nice addition.",Positive
42,The high refresh rate on the display makes gaming and scrolling through social media so much smoother.,Neutral
43,The edge-to-edge screen gives this phone a premium feel. The vibrant display enhances every image and video.,Positive
44,"The product is good
But the picture are from nothing P1 🫶",Positive
45,Mind blowing,Neutral
46,"Value of money, very good product",Positive
47,Amezing design,Neutral
48,I love how smooth the screen feels while scrolling. The refresh rate makes a noticeable difference in everyday use. Especially when I play games like Temple Run.,Positive
49,"Taking pictures on this phone is beautiful experience. The camera performs well in all lighting conditions, making it a useful device for photography.",Positive
50,All are fine for budget friendly,Positive
51,Design Is very premium 😍.. Performance Average 😐 Camera quality is very poor 🥲.. Overall budget phone 📱.. good for parents ❤️,Negative
52,Best,Positive
53,Price for best product,Positive
54,"Poco c75
Nice phon",Positive
55,Very good 😊,Positive
56,. The color accuracy on this screen is brilliant. Watching movies is so much better with this vibrant display.,Positive
57,"Battery life is easily one of the best features of this phone. I never have to charge it in the middle of the day, even with heavy use.",Positive
58,All ok all round phone,Positive
59,Only 4g phone not 5g,Neutral
60,"What poco is offering for the price is just awesome.
Decent camera, decent display decent everything in this phone.
Price to quality is very very good.",Positive
61,"Slow charging battery 🔋
Super",Positive
62,Value for money,Positive
63,Beautiful mobile in this rang,Positive
64,Performance is good. Camera is average.,Positive
65,At this price the best phone for parents..,Positive
66,Nice phone,Positive
67,Good budget phone,Positive
68,Good,Positive
69,8k budget ok phone for besic use ...don't high expectations for this model...,Positive
70,Good... Value for money,Positive
71,True value for money,Positive
72,Good phone,Positive
73,Poco C75 very super phone,Positive
74,Superb phone,Positive
75,Supar,Neutral
76,"Great for old people.. camera not so good, performance is acceptable for its price, battery is good , and over all its good enough for its price",Negative
77,"Best in class with 5g in small budget,
Camera is good
Front camera is average
Display is good
Performance is also good
Feeling primium in hand
But I think 4gb ram is not enough.",Positive
78,Very beautiful and best price 👍👌,Positive
79,"The Snapdragon 4s Gen 2 chipset powers through games and heavy apps without any issues. The phone feels fast and responsive, and the sleek design adds to its appeal.",Positive
80,The dual-camera setup on back ensures photo comes out great whether its a zoom or wide shot. The software optimizations are excellent for a small phone like this. 5G call quality is also genuinely very good.,Positive
81,"Compared to other phones at this price, the POCO C75 5G stands out for its dynamic camera range. It captures shadows and highlights beautifully without losing detail in bright areas.",Positive
82,Best phone in segment but cover is missing but I play freefire in this phone feels smoothly and on ultra graphic best phone❤👍,Positive
83,Nice 👍👍👍,Positive
84,All good 👍,Positive
85,"1. With the Snapdragon 4s Gen 2, the POCO C75 5G delivers a smooth experience for both everyday use and gaming. The camera quality is impressive, capturing sharp and vibrant photos.",Positive
86,Nice background,Positive
87,Nice mobile,Positive
88,Very good design camera disent performance good display good battery good,Positive
89,This phone is good but it's network connectivity is only stand alone 5g which is supported only jio network at this this time airtel and another company work on non stand alone 5g (airtel have already on non stand alone 5g),Negative
90,"The battery life on the POCO C75 5G is amazing! It lasts me an entire day of heavy usage, and fast charging gets it back up in 2 - 3 hours",Positive
91,I'm happy,Positive
92,Nice phone,Positive
93,This Phone is average around all purposes. Better in low budget 5G smartphones.,Positive
94,Only jio 5g supported,Positive
95,"That's all features are cool .disign, camra. But battery performance is weak. 🆗 phone in this price.",Negative
96,Good for parents. For normal uses.,Positive
97,"Nice project and very good super performance .
But 18 wat ka charger is not only for 10 wat ka charger so bad 😔",Negative
98,According to price is very good 😊 phone,Positive
99,Fabulous at this price range,Positive
100,Good,Positive
101,"Camera average only purpose for payment
Battery are to good 😊
Sound quality awesome
Display 1080p 60fps
Gaming performance normal 😜",Positive
102,Nice budget phone,Positive
103,Actually in this budget it is the best phone to buy 5g segment,Positive
104,Ok,Positive
105,"Awesome phone

Camera 3/5

Battery 4/5

Display 3/5

Design 4/5

Performance 4/5

This phone is not usually heating but when play games that time phone is Little bit heat. And this is super phone keep it",Positive
106,Good for the price,Positive
107,Best phone for parents 💖. Value for money 💰💰💰,Positive
